No., Trainee ID,First Name, Last Name, Gender, Age, Birthplace, Status
1,1002,Reiner,Braun,Male,17,Wall Rose,Dead
2,1003,Bertholdt,Hoover,Male,16,Wall Rose,Dead
3,1009,Sasha,Braus,Female,16,Dauper Village,Dead
4,999,Hange,San,Female,32,Paradis,Dead
5,1009,Sasha,Braus,Female,16,Dauper Village,Dead
6,1002,Reiner,Braun,Male,17,Wall Rose,Dead
7,1009,Sasha,Braus,Female,16,Dauper Village,Dead
8,1002,Reiner,Braun,Male,17,Wall Rose,Dead
9,1009,Sasha,Braus,Female,16,Dauper Village,Dead
10,1002,Reiner,Braun,Male,17,Wall Rose,Dead
